ID,Age,Education,Marital_Status,Income,Dependents,Dt_Customer,Recency,RecencyScore,Frequency,FrequencyScore,Monetary,MonetaryScore,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,Web,Catalog,Store,NumWebVisitsMonth,Complain,1st Campaign,2nd Campaign,3rd Campaign,4th Campaign,5th Campaign,6th Campaign,Segment
2404,38,Bachelor,Married,53359.0,2,2013-05-27,4,5.0,14,2.0,257,2.0,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,Promising
5255,28,Bachelor,Single,41742.0,1,2013-02-20,19,4.0,27,5.0,637,3.0,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,Need Attention
9422,25,Bachelor,Married,38360.0,1,2013-05-31,26,4.0,9,2.0,131,2.0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,Promising
5710,44,Bachelor,Together,40548.0,1,2012-10-10,31,3.0,9,2.0,120,2.0,110,0,5,2,0,3,2,2,1,4,5,0,0,0,0,1,0,0,Promising
7373,62,Doctoral,Divorced,46610.0,2,2012-10-29,8,5.0,17,3.0,302,2.0,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,Need Attention
8755,68,Master,Married,68657.0,0,2013-02-20,4,5.0,18,3.0,1196,4.0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Need Attention
10738,63,Master,Single,49389.0,2,2013-08-29,55,2.0,6,1.0,65,1.0,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,Hibernating
4339,44,Doctoral,Married,67353.0,1,2013-12-31,37,3.0,28,5.0,913,3.0,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,Need Attention
10755,38,Master,Married,23718.0,1,2013-09-02,76,1.0,9,2.0,81,1.0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,Hibernating
8601,34,Bachelor,Married,80011.0,1,2013-04-29,3,5.0,21,4.0,1395,4.0,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Best
503,29,Master,Married,20559.0,1,2013-03-12,88,1.0,7,1.0,53,1.0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,Hibernating
7281,55,Doctoral,Single,69867.0,0,2013-11-05,80,1.0,9,2.0,186,2.0,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,Hibernating
2139,39,Master,Married,7500.0,1,2013-10-02,19,4.0,8,1.0,31,0.0,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,Promising
1371,38,Bachelor,Single,79941.0,0,2014-06-28,72,1.0,16,3.0,984,4.0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,At Risk
9909,18,Master,Married,7500.0,0,2012-11-09,24,4.0,10,2.0,122,2.0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,Promising
7286,46,Bachelor,Together,41728.0,1,2013-05-24,92,0.0,5,0.0,55,1.0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,Hibernating
7244,63,Bachelor,Single,60199.0,3,2014-01-01,96,0.0,10,2.0,124,2.0,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,Hibernating
6566,60,Doctoral,Married,72550.0,2,2012-11-08,39,3.0,28,5.0,1319,4.0,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,Loyal
8614,57,Bachelor,Widow,65486.0,1,2014-05-12,29,3.0,17,3.0,507,3.0,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,Need Attention
4114,50,Master,Married,79143.0,0,2012-08-11,2,5.0,29,5.0,1693,5.0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Best
1331,37,Bachelor,Single,35790.0,1,2013-01-02,54,2.0,7,1.0,72,1.0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,Hibernating
2225,37,Bachelor,Divorced,82582.0,0,2014-06-07,54,2.0,21,4.0,1617,5.0,510,120,550,156,40,241,1,4,9,7,1,0,1,0,1,0,0,1,Can't Lose
6260,59,Master,Together,82384.0,0,2012-11-19,55,2.0,27,5.0,1957,5.0,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,0,1,1,Can't Lose
10383,48,Bachelor,Divorced,70287.0,0,2013-04-02,30,3.0,21,4.0,1093,4.0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,Need Attention
7437,26,Bachelor,Single,27938.0,1,2014-04-28,31,3.0,6,1.0,29,0.0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,Promising
8557,32,Bachelor,Single,41742.0,1,2013-06-17,57,2.0,7,1.0,46,1.0,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,Hibernating
8375,46,Doctoral,Married,55954.0,1,2014-03-03,63,2.0,19,3.0,518,3.0,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,At Risk
6853,32,Master,Single,75777.0,0,2013-07-04,12,4.0,21,4.0,1438,4.0,712,26,538,69,13,80,1,3,6,11,1,0,0,0,0,1,1,1,Need Attention
3076,39,Bachelor,Together,66653.0,2,2012-09-07,18,4.0,22,4.0,612,3.0,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,Need Attention
1012,62,Bachelor,Single,61823.0,1,2013-02-18,26,4.0,24,4.0,884,3.0,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,Need Attention
6518,63,Doctoral,Widow,67680.0,1,2013-06-11,8,5.0,19,3.0,606,3.0,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,Need Attention
4137,66,Bachelor,Together,70666.0,0,2013-12-06,29,3.0,16,3.0,1076,4.0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,Need Attention
8082,43,Bachelor,Married,25721.0,1,2013-05-21,75,1.0,5,0.0,34,0.0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,Hibernating
1386,47,Bachelor,Together,32474.0,2,2014-05-11,0,5.0,4,0.0,11,0.0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,New Customer
9369,35,Master,Single,88194.0,1,2014-03-19,19,4.0,32,5.0,1274,4.0,688,14,309,201,24,38,1,11,10,10,5,0,1,0,1,0,0,1,Loyal
4477,56,Bachelor,Together,69096.0,1,2013-09-27,4,5.0,18,3.0,653,3.0,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Need Attention
1357,44,Bachelor,Together,74854.0,3,2013-04-08,90,0.0,19,3.0,1562,5.0,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,At Risk
1402,60,Master,Married,66991.0,0,2012-09-11,1,5.0,21,4.0,1253,4.0,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Best
10629,41,Master,Married,44335.0,1,2012-09-14,25,4.0,9,2.0,109,2.0,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,Promising
6312,55,Bachelor,Married,65031.0,1,2013-03-17,29,3.0,30,5.0,863,3.0,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,Need Attention
8132,39,Doctoral,Married,60631.0,2,2013-04-05,88,1.0,24,4.0,661,3.0,565,6,65,0,6,19,5,9,2,8,7,0,0,0,0,1,0,0,At Risk
1050,62,Bachelor,Married,28332.0,0,2014-04-30,58,2.0,8,1.0,65,1.0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,Hibernating
5846,37,Bachelor,Divorced,40246.0,1,2012-12-19,68,2.0,4,0.0,13,0.0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,Hibernating
1859,42,Master,Married,75251.0,0,2012-08-27,34,3.0,19,3.0,1890,5.0,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,Need Attention
7503,38,Bachelor,Single,75825.0,0,2012-10-12,40,3.0,22,4.0,2209,5.0,1032,105,779,137,105,51,0,5,8,9,4,0,0,0,1,0,0,1,Need Attention
10401,38,Master,Together,26326.0,0,2013-09-04,12,4.0,4,0.0,18,0.0,1,0,5,0,3,9,1,0,0,3,3,1,0,0,0,0,0,0,Promising
1618,49,Bachelor,Together,56046.0,0,2013-01-02,9,5.0,21,4.0,692,3.0,577,0,64,0,0,51,2,10,1,8,8,0,0,0,1,0,0,1,Need Attention
2261,45,Bachelor,Married,26304.0,1,2013-06-23,5,5.0,4,0.0,16,0.0,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,New Customer
5346,41,Master,Married,23559.0,1,2013-07-03,87,1.0,9,2.0,79,1.0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,Hibernating
4119,51,Master,Together,38620.0,0,2013-05-11,56,2.0,11,2.0,318,2.0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,Hibernating
5268,54,Bachelor,Married,29440.0,2,2013-08-11,95,0.0,7,1.0,56,1.0,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,Hibernating
273,44,Master,Married,36138.0,2,2013-07-16,48,3.0,13,2.0,151,2.0,130,0,16,0,0,5,5,3,1,4,7,0,0,0,0,1,0,0,Promising
4452,57,Bachelor,Single,50388.0,1,2014-05-28,3,5.0,17,3.0,372,2.0,292,6,37,0,3,34,4,6,1,6,7,0,1,0,0,1,0,1,Need Attention
771,47,Bachelor,Together,54178.0,1,2014-01-21,79,1.0,10,2.0,194,2.0,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,Hibernating
8996,57,Doctoral,Married,56747.0,3,2012-11-19,4,5.0,29,5.0,603,3.0,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,Need Attention
9235,57,Bachelor,Single,42720.0,2,2014-05-27,45,3.0,4,0.0,18,0.0,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Promising
5798,41,Master,Together,66636.0,0,2013-11-23,87,1.0,15,2.0,985,4.0,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,At Risk
11178,42,Master,Single,42394.0,1,2014-03-23,69,2.0,5,0.0,32,0.0,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,Hibernating
2230,44,Doctoral,Married,23626.0,1,2014-05-24,84,1.0,10,2.0,43,1.0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,Hibernating
7247,54,Bachelor,Widow,47916.0,1,2012-11-22,72,1.0,22,4.0,606,3.0,505,0,26,0,0,75,5,7,4,6,6,0,0,0,0,1,0,0,At Risk
11100,42,Bachelor,Divorced,51813.0,2,2013-04-11,37,3.0,7,1.0,63,1.0,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,Promising
1473,54,Master,Single,47823.0,1,2013-07-23,0,5.0,7,1.0,72,1.0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,New Customer
1016,55,Doctoral,Single,34554.0,1,2014-03-30,43,3.0,7,1.0,55,1.0,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,Promising
4518,35,Bachelor,Together,85693.0,1,2013-04-20,59,2.0,27,5.0,1169,4.0,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,Can't Lose
9370,69,Doctoral,Married,65846.0,0,2013-05-17,68,2.0,16,3.0,1120,4.0,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,At Risk
8908,55,Bachelor,Married,87195.0,0,2014-05-08,35,3.0,20,4.0,1097,4.0,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,Need Attention
7533,50,Bachelor,Married,49096.0,2,2013-09-24,15,4.0,13,2.0,187,2.0,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,Promising
2683,45,Bachelor,Married,52413.0,2,2013-02-02,56,2.0,26,5.0,910,3.0,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,At Risk
3629,36,Bachelor,Single,38557.0,1,2012-12-19,17,4.0,9,2.0,145,2.0,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,Promising
10991,54,Master,Married,89058.0,0,2012-12-07,18,4.0,14,2.0,850,3.0,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,Need Attention
7431,23,Doctoral,Single,68126.0,0,2012-11-10,40,3.0,17,3.0,1820,5.0,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,0,1,0,1,Need Attention
3267,51,Master,Together,57288.0,1,2014-06-25,27,4.0,20,4.0,608,3.0,527,0,21,0,0,60,3,8,1,8,6,0,0,0,0,1,0,0,Need Attention
999,23,Bachelor,Single,86037.0,0,2013-01-02,95,0.0,25,4.0,730,3.0,490,44,125,29,20,22,1,6,7,11,3,0,0,0,0,1,1,1,At Risk
9215,34,Doctoral,Married,43974.0,1,2012-12-12,19,4.0,21,4.0,551,3.0,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,Need Attention
2286,52,Bachelor,Single,50785.0,2,2013-09-10,27,4.0,8,1.0,114,2.0,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,Promising
1592,44,Bachelor,Married,90765.0,0,2014-01-24,25,4.0,15,2.0,1724,5.0,547,99,812,151,82,33,0,4,6,5,1,0,1,0,0,0,1,0,Need Attention
367,36,Master,Married,36550.0,1,2013-02-19,74,1.0,20,4.0,577,3.0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,At Risk
5234,47,Master,Together,30753.0,2,2013-07-11,85,1.0,7,1.0,81,1.0,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,Hibernating
9862,45,Bachelor,Together,21918.0,1,2013-11-14,37,3.0,7,1.0,33,0.0,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,Promising
6205,47,Master,Single,32557.0,1,2014-02-24,13,4.0,9,2.0,80,1.0,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,Promising
8442,29,Master,Married,19510.0,2,2013-09-04,63,2.0,6,1.0,30,0.0,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,Hibernating
7215,31,Bachelor,Single,101970.0,0,2013-03-12,69,2.0,27,5.0,1135,4.0,722,27,102,44,72,168,0,6,8,13,2,0,1,0,0,1,1,1,Can't Lose
1491,49,Master,Together,71488.0,0,2013-02-18,87,1.0,16,3.0,559,3.0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,At Risk
11071,30,Bachelor,Single,79607.0,0,2013-04-21,37,3.0,16,3.0,1923,5.0,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,Need Attention
3381,61,Master,Married,54348.0,2,2014-06-08,51,2.0,8,1.0,90,1.0,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,Hibernating
8268,53,Doctoral,Married,56088.5,1,2013-07-11,23,4.0,17,3.0,404,3.0,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,Need Attention
11051,58,Doctoral,Together,77376.0,2,2014-05-10,72,1.0,23,4.0,661,3.0,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,At Risk
8026,62,Bachelor,Married,62998.0,1,2013-09-30,10,4.0,19,3.0,463,3.0,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,Need Attention
9597,45,Bachelor,Married,73448.0,0,2014-02-10,10,4.0,19,3.0,725,3.0,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,Need Attention
1295,51,Bachelor,Married,46441.5,1,2013-08-11,96,0.0,19,3.0,725,3.0,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,At Risk
5290,50,Doctoral,Married,41551.0,2,2013-08-14,51,2.0,16,3.0,279,2.0,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,At Risk
1685,47,Doctoral,Together,62981.0,0,2013-03-17,21,4.0,23,4.0,1482,4.0,796,14,590,38,44,0,1,4,5,13,3,0,0,0,0,1,0,0,Need Attention
5342,38,Basic,Divorced,9548.0,1,2012-08-08,31,3.0,6,1.0,29,0.0,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,Promising
9579,55,Doctoral,Married,33762.0,3,2013-07-07,61,2.0,9,2.0,106,2.0,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,Hibernating
1461,49,Doctoral,Divorced,36921.0,2,2013-07-28,74,1.0,7,1.0,38,1.0,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,Hibernating
821,22,Master,Single,92859.0,0,2012-10-19,46,3.0,22,4.0,2077,5.0,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,Need Attention
11084,38,Master,Together,65104.0,1,2013-11-14,4,5.0,17,3.0,1053,4.0,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,Need Attention
8690,52,Bachelor,Married,86111.0,0,2013-04-19,73,1.0,23,4.0,1385,4.0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,Can't Lose
2937,40,Doctoral,Single,68352.0,1,2013-08-28,47,3.0,25,4.0,871,3.0,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,Need Attention
9701,26,Bachelor,Together,41883.0,1,2013-03-19,13,4.0,12,2.0,312,2.0,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,Promising
9949,38,Bachelor,Married,59809.0,2,2012-10-18,36,3.0,15,2.0,877,3.0,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,Need Attention
10837,39,Bachelor,Married,23957.0,1,2012-10-28,47,3.0,6,1.0,68,1.0,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,Promising
3120,33,Bachelor,Together,38547.0,1,2013-08-28,49,3.0,4,0.0,22,0.0,6,1,10,0,1,4,1,1,0,2,8,1,0,0,0,0,0,0,Promising
4050,48,Master,Married,49605.0,0,2014-06-21,65,2.0,8,1.0,127,2.0,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,Hibernating
3830,61,Master,Married,59354.0,2,2014-04-24,59,2.0,16,3.0,459,3.0,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,At Risk
7987,45,Bachelor,Married,65747.0,1,2014-03-07,96,0.0,19,3.0,460,3.0,346,17,48,23,13,13,4,8,1,6,6,0,0,0,0,1,0,0,At Risk
7798,42,Master,Together,46344.0,1,2012-12-14,28,4.0,17,3.0,429,3.0,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,Need Attention
7055,62,Doctoral,Together,61010.0,1,2012-10-09,57,2.0,26,5.0,1021,4.0,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,Can't Lose
10240,65,Bachelor,Together,69372.0,0,2013-02-19,10,4.0,21,4.0,1381,4.0,997,26,269,34,13,42,1,10,4,6,4,0,0,0,0,1,1,1,Need Attention
3025,56,Bachelor,Single,49967.0,1,2013-07-08,4,5.0,15,2.0,306,2.0,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,Promising
9283,36,Bachelor,Single,60199.0,3,2013-09-12,49,3.0,4,0.0,18,0.0,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,Promising
9970,37,Bachelor,Together,55375.0,1,2013-10-17,3,5.0,9,2.0,162,2.0,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,Promising
2730,59,Bachelor,Single,80317.0,0,2013-08-20,64,2.0,18,3.0,1231,4.0,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,At Risk
2795,56,Master,Single,30523.0,3,2013-07-01,0,5.0,4,0.0,13,0.0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,New Customer
9260,69,Doctoral,Married,70356.0,0,2012-11-05,20,4.0,27,5.0,1706,5.0,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,Loyal
8182,30,Bachelor,Married,23228.0,1,2014-01-05,91,0.0,11,2.0,121,2.0,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,Hibernating
10095,39,Doctoral,Divorced,74165.0,0,2013-05-01,9,5.0,20,4.0,1293,4.0,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,Best
8475,41,Doctoral,Married,157243.0,1,2014-03-01,98,0.0,37,5.0,1608,5.0,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,Can't Lose
4370,48,Bachelor,Together,43482.0,3,2013-11-13,83,1.0,9,2.0,88,1.0,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,Hibernating
10573,61,Bachelor,Divorced,62551.0,0,2013-11-18,27,4.0,18,3.0,421,3.0,125,16,98,134,21,27,1,6,7,4,3,0,0,0,1,0,0,0,Need Attention
3712,55,Bachelor,Divorced,52332.0,0,2013-08-28,63,2.0,12,2.0,259,2.0,212,5,33,7,0,2,1,3,2,6,4,0,0,0,0,1,0,0,Hibernating
6637,26,Bachelor,Single,66951.0,0,2013-11-02,46,3.0,15,2.0,1117,4.0,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,Need Attention
5610,49,Bachelor,Together,33456.0,2,2014-04-21,58,2.0,6,1.0,36,1.0,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,Hibernating
6460,32,Bachelor,Married,28718.0,1,2013-07-13,78,1.0,7,1.0,57,1.0,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,Hibernating
1349,44,Bachelor,Married,50447.0,2,2014-04-21,4,5.0,8,1.0,148,2.0,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,New Customer
1880,55,Doctoral,Together,53537.0,2,2014-01-30,17,4.0,8,1.0,93,2.0,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,Promising
641,47,Bachelor,Single,52074.0,1,2014-04-04,77,1.0,7,1.0,119,2.0,59,0,12,0,0,48,1,2,2,2,4,0,0,0,1,0,0,0,Hibernating
8717,39,Doctoral,Married,80427.0,1,2012-09-12,56,2.0,28,5.0,1835,5.0,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,Can't Lose
10314,66,Doctoral,Married,83837.0,0,2012-12-16,79,1.0,25,4.0,1318,4.0,847,66,119,86,89,111,1,9,10,5,4,0,1,0,0,1,0,1,Can't Lose
10854,44,Doctoral,Married,38853.0,2,2014-05-23,90,0.0,7,1.0,45,1.0,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,Hibernating
10492,55,Bachelor,Together,38285.0,3,2014-06-24,96,0.0,4,0.0,10,0.0,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,Lost
